,season,id,match_between,home_team,away_team,toss_won,decision,1st_inning_score,2nd_inning_score,home_score,away_score,winner,result,venue,home_captain,away_captain,player_of_the_match,super_over,home_overs,home_runs,home_wickets,home_boundaries,away_overs,away_runs,away_wickets,away_boundaries,home_key_batsman,home_key_bowler,away_key_batsman,away_key_bowler,part_of_the_day
729,2011,501222,KKR v RCB,KKR,RCB,RCB,BOWL FIRST,171/5,175/1,171/5,175/1,RCB,RCB won by 9 wickets (with 11 balls remaining),"Eden Gardens, Kolkata",Gautam Gambhir,Daniel Vettori,Chris Gayle,False,20.0,171.0,5.0,19.0,18.1,175.0,1.0,27.0,"Gautam Gambhir,Yusuf Pathan","Lakshmipathy Balaji,Iqbal Abdulla","Chris Gayle,Tillakaratne Dilshan","Sreenath Aravind,Jamaluddin Syed Mohammad",day/night
730,2011,501221,MI v CSK,MI,CSK,CSK,BOWL FIRST,164/4,156/9,164/4,156/9,MI,Mum Indians won by 8 runs,"Wankhede Stadium, Mumbai",Sachin Tendulkar,MS Dhoni,Harbhajan Singh,False,20.0,164.0,4.0,21.0,20.0,156.0,9.0,19.0,"Rohit Sharma,Andrew Symonds","Harbhajan Singh,Lasith Malinga","S Badrinath,Michael Hussey","Doug Bollinger,Albie Morkel",night
731,2011,501223,DC v PBKS,DC,PBKS,PBKS,BOWL FIRST,231/4,202/6,231/4,202/6,DC,Daredevils won by 29 runs,"Arun Jaitley Stadium, Delhi",Virender Sehwag,Adam Gilchrist,David Warner,False,20.0,231.0,4.0,32.0,20.0,202.0,6.0,32.0,"Virender Sehwag,David Warner","Ajit Agarkar,Irfan Pathan","Shaun Marsh,Adam Gilchrist","Abhishek Nayar,David Hussey",night
732,2011,501224,DC v MI,SRH,MI,SRH,BOWL FIRST,172/4,135/8,135/8,172/4,MI,Mum Indians won by 37 runs,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Kumar Sangakkara,Sachin Tendulkar,Lasith Malinga,False,20.0,135.0,8.0,15.0,20.0,172.0,4.0,23.0,"Kumar Sangakkara,Amit Mishra","Amit Mishra,Pragyan Ojha","Rohit Sharma,Andrew Symonds","Lasith Malinga,Kieron Pollard",day/night
733,2011,501225,RR v Kochi,RR,Kochi,RR,BOWL FIRST,109/10,111/2,111/2,109/10,RR,Royals won by 8 wickets (with 35 balls remaining),"Sawai Mansingh Stadium, Jaipur",Shane Warne,Mahela Jayawardene,Shane Warne,False,14.1,111.0,2.0,14.0,20.0,109.0,10.0,8.0,"Shane Watson,Rahul Dravid","Shane Warne,Siddharth Trivedi","Parthiv Patel,Ravindra Jadeja","Ravindra Jadeja,Thisara Perera",night
734,2011,501226,CSK v PWI,CSK,PWI,PWI,BOWL FIRST,142/6,117/9,142/6,117/9,CSK,Super Kings won by 25 runs,"MA Chidambaram Stadium, Chepauk, Chennai",MS Dhoni,Yuvraj Singh,Michael Hussey,False,20.0,142.0,6.0,14.0,20.0,117.0,9.0,8.0,"Michael Hussey,Murali Vijay","Albie Morkel,Ravichandran Ashwin","Yuvraj Singh,Mithun Manhas","Jerome Taylor,Alfonso Thomas",night
735,2011,501227,DC v RCB,DC,RCB,RCB,BOWL FIRST,160/6,161/7,160/6,161/7,RCB,RCB won by 3 wickets (with 3 balls remaining),"Arun Jaitley Stadium, Delhi",Virender Sehwag,Daniel Vettori,Virat Kohli,False,20.0,160.0,6.0,18.0,19.3,161.0,7.0,22.0,"James Hopes,Virender Sehwag","Morne Morkel,Yogesh Nagar","Virat Kohli,Chris Gayle","Abhimanyu Mithun,Daniel Vettori",night
736,2011,501228,PWI v CSK,PWI,CSK,PWI,BAT FIRST,141/6,145/2,141/6,145/2,CSK,Super Kings won by 8 wickets (with 3 balls remaining),"Dr DY Patil Sports Academy, Mumbai",Yuvraj Singh,MS Dhoni,Doug Bollinger,False,20.0,141.0,6.0,17.0,19.3,145.0,2.0,14.0,"Yuvraj Singh,Robin Uthappa","Murali Kartik,Jesse Ryder","S Badrinath,Suresh Raina","Doug Bollinger,Nuwan Kulasekara",day/night
737,2011,501229,Kochi v DC,Kochi,SRH,Kochi,BOWL FIRST,129/7,74/10,74/10,129/7,SRH,Chargers won by 55 runs,"Nehru Stadium, Kochi",Mahela Jayawardene,Kumar Sangakkara,Ishant Sharma,False,16.3,74.0,10.0,9.0,20.0,129.0,7.0,14.0,"Ravindra Jadeja,Thisara Perera","Vinay Kumar,RP Singh","Kumar Sangakkara,Cameron White","Ishant Sharma,Dale Steyn",night
738,2011,501230,DC v KKR,DC,KKR,DC,BOWL FIRST,148/7,131/9,131/9,148/7,KKR,KKR won by 17 runs,"Arun Jaitley Stadium, Delhi",Virender Sehwag,Gautam Gambhir,Manoj Tiwary,False,20.0,131.0,9.0,14.0,20.0,148.0,7.0,16.0,"Virender Sehwag,James Hopes","Umesh Yadav,Irfan Pathan","Manoj Tiwary,Shreevats Goswami","Iqbal Abdulla,Lakshmipathy Balaji",night
